userUnit,receivedArtificialPromotionOutOfCurrentUnit
2_1,0
2_2,1
2_3,0
2_4,0
3_1,1
3_2,0
3_3,0
3_4,0
4_1,1
4_2,0
4_3,0
4_4,0
5_1,0
5_2,1
5_3,0
5_4,0
6_1,1
6_2,0
6_3,0
6_4,0
7_1,0
7_2,0
7_3,0
7_4,0
9_1,1
9_2,0
9_3,0
9_4,0
10_1,1
10_2,0
10_3,0
10_4,0
11_1,0
11_2,1
11_3,0
11_4,0
12_1,1
12_2,0
12_3,0
12_4,0
13_1,1
13_2,0
13_3,0
13_4,0
14_1,1
14_2,0
14_3,0
14_4,0
15_1,1
15_2,0
15_3,0
15_4,0
16_1,1
16_2,0
16_3,0
16_4,0
17_1,1
17_2,0
17_3,0
17_4,0
18_1,0
18_2,0
18_3,1
18_4,0
19_1,0
19_2,0
19_3,0
19_4,0
20_1,1
20_2,0
20_3,0
20_4,0
21_1,1
21_2,0
21_3,0
21_4,0
22_1,1
22_2,0
22_3,0
22_4,0
23_1,0
23_2,0
23_3,0
23_4,0
24_1,0
24_2,0
24_3,1
24_4,0
25_1,0
25_2,0
25_3,0
25_4,0
26_1,0
26_2,0
26_3,0
26_4,0
27_1,0
27_2,0
27_3,1
27_4,0
28_1,1
28_2,0
28_3,0
28_4,0
29_1,1
29_2,0
29_3,0
29_4,0
31_1,1
31_2,0
31_3,0
31_4,0
32_1,1
32_2,0
32_3,0
32_4,0
33_1,1
33_2,0
33_3,0
33_4,0
34_1,1
34_2,0
34_3,0
34_4,0
35_1,1
35_2,0
35_3,0
35_4,0
36_1,1
36_2,0
36_3,0
36_4,0
37_1,0
37_2,1
37_3,0
37_4,0
38_1,0
38_2,1
38_3,0
38_4,0
39_1,1
39_2,0
39_3,0
39_4,0
40_1,1
40_2,0
40_3,0
40_4,0
